1385
14	6	1	0.815
14	9	1	0.688
14	12	1	0.583
15	1	1	1.036
15	4	1	0.851
15	7	1	0.717
15	10	1	0.610
15	13	1	0.522
16	2	1	0.899
16	5	1	0.744
16	8	1	0.635
16	11	1	0.545
16	14	1	0.468
17	0	1	0.882
17	3	1	0.779
17	6	1	0.658
17	9	1	0.566
17	12	1	0.488
17	15	1	0.423
18	1	1	0.810
18	4	1	0.685
18	7	1	0.586
18	10	1	0.507
18	13	1	0.441
18	16	1	0.383
19	2	1	0.721
19	5	1	0.607
19	8	1	0.525
19	11	1	0.457
19	14	1	0.398
19	17	1	0.348
20	0	1	0.697
20	3	1	0.635
20	6	1	0.542
20	9	1	0.472
20	12	1	0.413
20	15	1	0.362
20	18	1	0.317
21	1	1	0.651
21	4	1	0.564
21	7	1	0.487
21	10	1	0.427
21	13	1	0.375
21	16	1	0.329
21	19	1	0.289
22	2	1	0.586
22	5	1	0.504
22	8	1	0.439
22	11	1	0.387
22	14	1	0.341
22	17	1	0.300
22	20	1	0.264
23	0	1	0.573
23	3	1	0.527
23	6	1	0.453
23	9	1	0.398
23	12	1	0.351
23	15	1	0.311
23	18	1	0.274
23	21	1	0.242
24	1	1	0.531
24	4	1	0.470
24	7	1	0.410
24	10	1	0.361
24	13	1	0.320
24	16	1	0.284
24	19	1	0.251
25	2	1	0.488
25	5	1	0.424
25	8	1	0.372
25	11	1	0.329
25	14	1	0.292
25	17	1	0.260
26	0	1	0.474
26	3	1	0.442
26	6	1	0.382
26	9	1	0.338
26	12	1	0.300
26	15	1	0.268
26	18	1	0.238
27	1	1	0.441
27	4	1	0.398
27	7	1	0.348
27	10	1	0.308
27	13	1	0.275
27	16	1	0.245
28	2	1	0.408
28	5	1	0.361
28	8	1	0.316
28	11	1	0.282
28	14	1	0.251
29	0	1	0.399
29	3	1	0.373
29	6	1	0.327
29	9	1	0.289
29	12	1	0.258
30	1	1	0.370
30	4	1	0.339
30	7	1	0.298
30	10	1	0.264
30	13	1	0.237
31	2	1	0.347
31	5	1	0.308
31	8	1	0.272
31	11	1	0.242
32	0	1	0.336
32	3	1	0.318
32	6	1	0.280
32	9	1	0.249
33	1	1	0.314
33	4	1	0.291
33	7	1	0.256
34	2	1	0.293
34	5	1	0.264
35	0	1	0.288
35	3	1	0.272
36	1	1	0.267
36	4	1	0.249
37	2	1	0.251
38	0	1	0.247
7	5	2	2.789
8	3	2	3.186
8	6	2	2.281
9	1	2	3.485
9	7	2	1.930
10	2	2	2.795
11	0	2	2.908
12	10	2	1.265
13	2	2	2.071
13	11	2	1.128
14	9	2	1.201
14	12	2	1.007
15	4	2	1.536
15	7	2	1.273
15	10	2	1.067
15	13	2	0.911
16	5	2	1.344
16	8	2	1.128
16	11	2	0.962
16	14	2	0.824
17	0	2	1.629
17	3	2	1.410
17	6	2	1.193
17	9	2	1.013
17	12	2	0.867
17	15	2	0.753
18	1	2	1.458
18	4	2	1.250
18	7	2	1.063
18	10	2	0.911
18	13	2	0.791
18	16	2	0.688
19	2	2	1.296
19	5	2	1.111
19	8	2	0.959
19	11	2	0.828
19	14	2	0.720
19	17	2	0.633
20	0	2	1.314
20	3	2	1.163
20	6	2	1.000
20	9	2	0.865
20	12	2	0.753
20	15	2	0.662
20	18	2	0.583
21	1	2	1.188
21	4	2	1.041
21	7	2	0.902
21	10	2	0.789
21	13	2	0.691
21	16	2	0.608
21	19	2	0.540
22	2	2	1.076
22	5	2	0.942
22	8	2	0.821
22	11	2	0.719
22	14	2	0.633
22	17	2	0.563
22	20	2	0.500
23	0	2	1.086
23	3	2	0.975
23	6	2	0.852
23	9	2	0.748
23	12	2	0.662
23	15	2	0.585
23	18	2	0.520
23	21	2	0.465
24	1	2	0.993
24	4	2	0.885
24	7	2	0.779
24	10	2	0.687
24	13	2	0.608
24	16	2	0.540
24	19	2	0.484
25	2	2	0.907
25	5	2	0.806
25	8	2	0.711
25	11	2	0.631
25	14	2	0.563
25	17	2	0.502
26	0	2	0.917
26	3	2	0.832
26	6	2	0.737
26	9	2	0.656
26	12	2	0.583
26	15	2	0.521
26	18	2	0.466
27	1	2	0.845
27	4	2	0.760
27	7	2	0.677
27	10	2	0.603
27	13	2	0.539
27	16	2	0.485
28	2	2	0.779
28	5	2	0.699
28	8	2	0.623
28	11	2	0.559
28	14	2	0.501
29	0	2	0.785
29	3	2	0.720
29	6	2	0.643
29	9	2	0.576
29	12	2	0.517
30	1	2	0.730
30	4	2	0.662
30	7	2	0.594
30	10	2	0.534
30	13	2	0.482
31	2	2	0.675
31	5	2	0.613
31	8	2	0.549
31	11	2	0.496
32	0	2	0.684
32	3	2	0.629
32	6	2	0.566
32	9	2	0.511
33	1	2	0.637
33	4	2	0.581
33	7	2	0.526
34	2	2	0.594
34	5	2	0.542
35	0	2	0.599
35	3	2	0.554
36	1	2	0.561
36	4	2	0.517
37	2	2	0.527
38	0	2	0.530
7	5	3	4.259
8	3	3	5.186
8	6	3	3.511
9	1	3	5.553
9	4	3	4.105
9	7	3	2.987
10	2	3	4.431
10	5	3	3.055
10	8	3	2.576
11	0	3	4.583
11	3	3	3.665
11	6	3	2.643
11	9	3	2.264
12	1	3	3.825
12	4	3	3.076
12	7	3	2.330
12	10	3	2.003
13	2	3	3.250
13	5	3	2.357
13	8	3	2.063
13	11	3	1.797
14	0	3	3.312
14	3	3	2.788
14	6	3	2.098
14	9	3	1.852
14	12	3	1.617
15	1	3	2.872
15	4	3	2.117
15	7	3	1.888
15	10	3	1.666
15	13	3	1.471
16	2	3	2.520
16	5	3	1.907
16	8	3	1.703
16	11	3	1.516
16	14	3	1.341
17	0	3	2.551
17	3	3	1.920
17	6	3	1.732
17	9	3	1.550
17	12	3	1.380
17	15	3	1.232
18	1	3	2.031
18	4	3	1.746
18	7	3	1.574
18	10	3	1.412
18	13	3	1.267
18	16	3	1.133
19	2	3	1.788
19	5	3	1.591
19	8	3	1.442
19	11	3	1.298
19	14	3	1.165
19	17	3	1.050
20	0	3	1.839
20	3	3	1.617
20	6	3	1.459
20	9	3	1.321
20	12	3	1.193
20	15	3	1.078
20	18	3	0.972
21	1	3	1.698
21	4	3	1.476
21	7	3	1.339
21	10	3	1.220
21	13	3	1.104
21	16	3	0.999
21	19	3	0.906
22	2	3	1.520
22	5	3	1.359
22	8	3	1.238
22	11	3	1.126
22	14	3	1.023
22	17	3	0.931
22	20	3	0.846
23	0	3	1.557
23	3	3	1.384
23	6	3	1.252
23	9	3	1.143
23	12	3	1.045
23	15	3	0.952
23	18	3	0.866
23	21	3	0.791
24	1	3	1.443
24	4	3	1.269
24	7	3	1.162
24	10	3	1.063
24	13	3	0.972
24	16	3	0.888
24	19	3	0.813
25	2	3	1.312
25	5	3	1.175
25	8	3	1.077
25	11	3	0.987
25	14	3	0.906
25	17	3	0.829
26	0	3	1.334
26	3	3	1.201
26	6	3	1.089
26	9	3	1.004
26	12	3	0.922
26	15	3	0.847
26	18	3	0.777
27	1	3	1.243
27	4	3	1.107
27	7	3	1.016
27	10	3	0.935
27	13	3	0.862
27	16	3	0.794
28	2	3	1.143
28	5	3	1.029
28	8	3	0.946
28	11	3	0.876
28	14	3	0.807
29	0	3	1.157
29	3	3	1.053
29	6	3	0.958
29	9	3	0.887
29	12	3	0.820
30	1	3	1.083
30	4	3	0.975
30	7	3	0.897
30	10	3	0.830
30	13	3	0.770
31	2	3	1.007
31	5	3	0.910
31	8	3	0.840
31	11	3	0.781
32	0	3	1.014
32	3	3	0.933
32	6	3	0.851
32	9	3	0.790
33	1	3	0.954
33	4	3	0.867
33	7	3	0.799
34	2	3	0.892
34	5	3	0.811
35	0	3	0.898
35	3	3	0.832
36	1	3	0.847
36	4	3	0.775
37	2	3	0.798
38	0	3	0.801
7	5	4	5.481
8	3	4	5.114
8	6	4	4.396
9	1	4	6.828
9	4	4	4.281
9	7	4	3.677
10	2	4	4.109
10	5	4	4.086
10	8	4	3.138
11	0	4	3.424
11	3	4	3.638
11	6	4	3.438
11	9	4	2.736
12	1	4	3.662
12	4	4	3.202
12	7	4	2.971
12	10	4	2.407
13	2	4	3.191
13	5	4	3.191
13	8	4	2.593
13	11	4	2.151
14	0	4	3.260
14	3	4	2.846
14	6	4	2.771
14	9	4	2.302
14	12	4	1.931
15	1	4	2.974
15	4	4	2.935
15	7	4	2.448
15	10	4	2.055
15	13	4	1.753
16	2	4	2.594
16	5	4	2.580
16	8	4	2.176
16	11	4	1.857
16	14	4	1.595
17	0	4	2.680
17	3	4	2.685
17	6	4	2.297
17	9	4	1.959
17	12	4	1.683
17	15	4	1.465
18	1	4	2.756
18	4	4	2.394
18	7	4	2.056
18	10	4	1.770
18	13	4	1.542
19	2	4	2.459
19	5	4	2.141
19	8	4	1.860
19	11	4	1.616
19	14	4	1.412
19	17	4	1.247
20	0	4	2.491
20	3	4	2.219
20	6	4	1.936
20	9	4	1.688
20	12	4	1.477
20	15	4	1.306
20	18	4	1.156
21	4	4	1.999
21	7	4	1.754
21	13	4	1.362
21	16	4	1.206
21	19	4	1.079
22	2	4	2.049
22	5	4	1.822
22	8	4	1.605
22	11	4	1.418
22	14	4	1.257
22	17	4	1.123
22	20	4	1.005
23	0	4	2.070
23	3	4	1.866
23	6	4	1.657
23	9	4	1.469
23	12	4	1.309
23	15	4	1.167
23	18	4	1.045
23	21	4	0.943
24	4	4	1.707
24	7	4	1.523
24	10	4	1.357
24	13	4	1.212
24	16	4	1.085
24	19	4	0.979
25	5	4	1.566
25	8	4	1.400
25	11	4	1.253
25	14	4	1.128
25	17	4	1.015
26	0	4	1.756
26	6	4	1.441
26	9	4	1.297
26	12	4	1.166
26	15	4	1.050
26	18	4	0.949
27	1	4	1.623
27	4	4	1.476
27	7	4	1.333
27	10	4	1.201
27	13	4	1.084
27	16	4	0.983
28	2	4	1.500
28	5	4	1.367
28	8	4	1.235
28	11	4	1.120
28	14	4	1.015
29	3	4	1.394
29	6	4	1.265
29	9	4	1.150
29	12	4	1.044
30	4	4	1.292
30	7	4	1.179
